Timestamp,UBC Humidity,UBC Temp
31/01/2020,90.0%RH,5.5°C
29/02/2020,86.5%RH,4.8°C
31/03/2020,76.4%RH,6.1°C
30/04/2020,72.1%RH,10.0°C
31/05/2020,73.9%RH,14.0°C
30/06/2020,81.6%RH,15.1°C
31/07/2020,77.6%RH,17.7°C
31/08/2020,78.0%RH,18.2°C
30/09/2020,81.3%RH,17.0°C
31/10/2020,86.5%RH,10.7°C
30/11/2020,87.0%RH,6.9°C
31/12/2020,90.4%RH,6.0°C
31/01/2021,88.7%RH,5.7°C
28/02/2021,83.2%RH,3.7°C
31/03/2021,79.2%RH,6.9°C
30/04/2021,70.6%RH,10.4°C
31/05/2021,77.8%RH,12.7°C
30/06/2021,72.9%RH,18.3°C
31/07/2021,72.6%RH,19.6°C
31/08/2021,76.9%RH,18.9°C
30/09/2021,83.6%RH,15.1°C
31/10/2021,86.8%RH,10.0°C
30/11/2021,88.6%RH,7.8°C
31/12/2021,86.9%RH,1.8°C
31/01/2022,91.7%RH,4.4°C
28/02/2022,83.8%RH,5.1°C
31/03/2022,86.4%RH,7.1°C
30/04/2022,77.2%RH,7.8°C
31/05/2022,80.2%RH,11.1°C
30/06/2022,78.2%RH,15.6°C
31/07/2022,77.3%RH,19.4°C
31/08/2022,77.2%RH,20.2°C
30/09/2022,73.7%RH,17.0°C
31/10/2022,80.8%RH,13.6°C
30/11/2022,83.1%RH,5.0°C
31/12/2022,88.5%RH,2.4°C
31/01/2023,88.3%RH,5.8°C
28/02/2023,83.8%RH,4.2°C
31/03/2023,76.4%RH,6.6°C
30/04/2023,80.6%RH,8.3°C
31/05/2023,73.3%RH,15.8°C
30/06/2023,74.3%RH,16.2°C
31/07/2023,70.6%RH,19.3°C
31/08/2023,76.8%RH,18.8°C
30/09/2023,79.7%RH,15.5°C
31/10/2023,84.7%RH,11.6°C
30/11/2023,87.5%RH,7.4°C
31/12/2023,90.4%RH,7.5°C
